data,encoding,regressor,mse,pcc,r2,ktc
0,proposed method,embedding layers,0.308638036251068,0.750016496276913,0.321466189784987,0.519998317461072
1,proposed method,embedding layers,0.307998657226562,0.76108571924179,0.37305255165893,0.527727554960861
2,proposed method,embedding layers,0.300514549016953,0.76139283469028,0.323742695408136,0.510951291144989
3,proposed method,embedding layers,0.304337739944458,0.743456854758576,0.263238127669424,0.540770540478297
4,proposed method,embedding layers,0.294539332389832,0.748972834028574,0.280431084942263,0.511559071987118
0,CTDD,SVM,0.476093140460542,0.569085849266955,0.320007745881851,0.385625549255742
0,CTDD,RF,0.385642535914014,0.682588202250201,0.449196144631824,0.467146274556389
0,CTDD,DT,0.752123501284615,0.473478494153701,-0.074239705531205,0.287702150022779
0,CTDD,KNN,0.514330519698518,0.571160894871254,0.265394227034573,0.372358613833248
0,QSOrder,SVM,0.449527576588894,0.600718243855264,0.357950694695455,0.405286210194825
0,QSOrder,RF,0.367066978867102,0.708296102672154,0.475727161011542,0.464754102883193
0,QSOrder,DT,0.810524831566357,0.446605882707599,-0.157652905274777,0.275665760105691
0,QSOrder,KNN,0.45857032561447,0.609963771157311,0.345035156178394,0.381976782070167
0,CTDC,SVM,0.52035574891504,0.508448778347061,0.256788538675866,0.337498828030316
0,CTDC,RF,0.414219368940715,0.65270931863559,0.40838054899735,0.448739996733186
0,CTDC,DT,0.851533054165675,0.367709681684811,-0.216223952309218,0.263515525266139
0,CTDC,KNN,0.497994191378064,0.568682972794797,0.288727007481471,0.367606403995463
0,CTDT,SVM,0.506814011978228,0.526161585290755,0.276129872212894,0.360417662846518
0,CTDT,RF,0.463145348299816,0.598480150825728,0.338500762539703,0.413008552307244
0,CTDT,DT,0.802409092825221,0.41196812913695,-0.146061393002451,0.281211373839776
0,CTDT,KNN,0.470823321210676,0.608203560240743,0.327534500556462,0.40922612878992
1,CTDD,SVM,0.508707236744163,0.546667981741073,0.297936395110577,0.397750004922659
1,CTDD,RF,0.362633400661218,0.720260539535078,0.499531962330696,0.499974075211696
1,CTDD,DT,0.698529923539513,0.520841741020693,0.0359633187409925,0.35236593748108
1,CTDD,KNN,0.48647100330391,0.605328370840721,0.328624478708802,0.39154055698802
1,QSOrder,SVM,0.500735916307366,0.556627000898583,0.308937563478859,0.398311059095485
1,QSOrder,RF,0.392025295287414,0.686567174805222,0.45896839648118,0.474614426599926
1,QSOrder,DT,0.909801439545981,0.380341555898576,-0.255611149684646,0.280133901622309
1,QSOrder,KNN,0.495243277103739,0.589253688713411,0.316517919725285,0.373570767137115
1,CTDC,SVM,0.577579787092377,0.453315831665215,0.202885828728105,0.315676609347225
1,CTDC,RF,0.432820900594639,0.638790216665527,0.402666642433124,0.432341736967818
1,CTDC,DT,0.85868190632302,0.395926533829711,-0.18506140872858,0.244871754716916
1,CTDC,KNN,0.518777169629948,0.557287433940358,0.284038945119426,0.366868304284477
1,CTDT,SVM,0.615168607933827,0.412864986929837,0.151009737417921,0.306132712791168
1,CTDT,RF,0.427417596957489,0.649008527564127,0.410123707235442,0.431061940077197
1,CTDT,DT,1.03355017302726,0.293560658782472,-0.426395985545085,0.256205502456254
1,CTDT,KNN,0.55738815701261,0.536404165995361,0.230752168301181,0.329083110744996
2,CTDD,SVM,0.578945282041525,0.442845987733483,0.188806517652224,0.311752631706178
2,CTDD,RF,0.398800163752329,0.67411138118279,0.441218188264099,0.420025776926673
2,CTDD,DT,0.741137009314379,0.45223928141108,-0.0384496257790139,0.253047838598469
2,CTDD,KNN,0.470258076161555,0.59764440635124,0.341094403501338,0.379084822345009
2,QSOrder,SVM,0.54061011093298,0.505046763439342,0.242520127405257,0.344915021143533
2,QSOrder,RF,0.367457890362213,0.719692264026791,0.485133647435594,0.45673994426318
2,QSOrder,DT,0.816143874399758,0.366942238000533,-0.143546051945648,0.242162976520669
2,QSOrder,KNN,0.46718336712068,0.592600564637176,0.34540255491295,0.383378413915589
2,CTDC,SVM,0.617081592266066,0.395671510449028,0.135371543303954,0.27879847095033
2,CTDC,RF,0.434415342133336,0.637308287298095,0.391315716525408,0.402513656732097
2,CTDC,DT,0.709579248483734,0.488445924593699,0.00576776522042233,0.286332756488476
2,CTDC,KNN,0.491417530316835,0.561320879016883,0.311446677138886,0.348461101450687
2,CTDT,SVM,0.631373163662208,0.380522207959312,0.115346801884217,0.294255452160878
2,CTDT,RF,0.465449649854973,0.603795986670503,0.347831765737876,0.404248405627278
2,CTDT,DT,0.774011658867841,0.394795287089268,-0.0845121851942974,0.232752485283034
2,CTDT,KNN,0.478604543935542,0.578979216258319,0.329399688182112,0.336777185763633
3,CTDD,SVM,0.479253289877505,0.538939782117538,0.285239618598352,0.360893653832453
3,CTDD,RF,0.352527158484045,0.697940670131853,0.474239506385239,0.476787737665564
3,CTDD,DT,0.781162972377254,0.421905124555,-0.16502975747109,0.249299914039588
3,CTDD,KNN,0.476786900262309,0.560589581352942,0.288918002491122,0.355473635154278
3,QSOrder,SVM,0.453989046519896,0.573688836855632,0.322918817885068,0.393221413431176
3,QSOrder,RF,0.389195612531395,0.655860088691578,0.419552019092264,0.466734365027348
3,QSOrder,DT,0.846483605196049,0.371177046567124,-0.262449225241236,0.264845844957486
3,QSOrder,KNN,0.432551261978995,0.60802185116634,0.354891220325491,0.390271099614229
3,CTDC,SVM,0.52547044731606,0.471102833188658,0.2163111547238,0.330633747389039
3,CTDC,RF,0.435774483402795,0.595147326432791,0.350084094275703,0.406167665150103
3,CTDC,DT,0.837744578159318,0.398308527581125,-0.249415803395663,0.295127771100551
3,CTDC,KNN,0.499004181205769,0.523932559066822,0.255783055822496,0.359061823890392
3,CTDT,SVM,0.508556027719139,0.494496687782548,0.241537391575242,0.353942251190415
3,CTDT,RF,0.441605340223361,0.592070591127379,0.341387929777737,0.407124218715251
3,CTDT,DT,0.700962349943804,0.460489302800269,-0.0454182103206577,0.30186453377649
3,CTDT,KNN,0.506204398621608,0.528335709343915,0.245044621147095,0.319147032161527
4,CTDD,SVM,0.510873157799272,0.482041946262365,0.227647862632814,0.320768942672281
4,CTDD,RF,0.373915251659833,0.664777290615632,0.434704604450696,0.423921983389435
4,CTDD,DT,0.773712590865718,0.369309661208684,-0.169720045259916,0.234387747190595
4,CTDD,KNN,0.436582195056224,0.604278261406092,0.339962990146723,0.399051450401013
4,QSOrder,SVM,0.455630383462485,0.559450062706199,0.311165413284545,0.398236539760336
4,QSOrder,RF,0.384406799193254,0.657810920798177,0.418843193378262,0.450018693219291
4,QSOrder,DT,0.65617604509412,0.47404064755934,0.00797494802669196,0.326080258552812
4,QSOrder,KNN,0.472625568847186,0.555337652093316,0.285471623042422,0.359697817086694
4,CTDC,SVM,0.544460030661033,0.425292653771753,0.176870301419755,0.290984402552304
4,CTDC,RF,0.457643302655721,0.558668682034893,0.308122226502252,0.36972685700462
4,CTDC,DT,0.757330339527793,0.399931146527226,-0.144952905623457,0.273588995664689
4,CTDC,KNN,0.523467462640156,0.477789063009228,0.208607445037938,0.320833253704518
4,CTDT,SVM,0.54594483441312,0.425731104451515,0.174625534134593,0.313630790114664
4,CTDT,RF,0.441025411920401,0.584830558880957,0.333245612282097,0.389379252983152
4,CTDT,DT,0.845109478582863,0.371423105709999,-0.27765983028845,0.2564554226755
4,CTDT,KNN,0.553610981652367,0.463226144227092,0.163035641193046,0.303309925499851
